epoch,train_loss
1,23.691422735850015
2,13.73859799279107
3,10.585397941801283
4,8.109426898956299
5,7.079012130631341
6,7.664250566694472
7,5.9644631963306
8,5.257127932442559
9,5.124499822722541
10,5.643933989736769
11,5.053785971005758
12,4.205981916851467
13,4.2631516297658285
14,3.867540499369303
15,3.6515697762701245
16,3.5402769594722323
17,3.2578335597780015
18,2.931323239803314
19,3.8286911908785504
20,3.9411086728837756
21,3.018815168539683
22,2.447265929381053
23,3.5019470853275725
24,2.46014139758216
25,2.0715605155626933
26,2.017502429485321
27,1.9218292813830906
28,1.897727251847585
29,1.8030088170369467
30,1.6042347994115618
31,1.7486128618982104
32,2.339948656294081
33,1.8560565222634209
34,1.452088460524877
35,1.3067776285277473
36,1.1580976818667519
37,0.9667608973715041
38,1.0128687577777438
39,0.9894986389742957
40,0.9018145220809513
41,0.8458875317706002
42,0.9580436012479994
43,1.4998268330097198
44,1.1331071311235428
45,0.6650091618961758
46,0.6277425102392833
47,0.4975742585129208
48,0.5408231863048342
49,0.5287656341658699
50,0.6206604387362799
51,0.4316854696141349
52,0.3617005905840132
53,0.2724126654201084
54,0.25912498043643106
55,0.24192151804765066
56,0.24446186380253898
57,0.2577139393488566
58,0.2755672843257586
59,0.24724559651480782
60,0.25215134034554165
61,0.24664013783137004
62,0.25985408299499085
63,0.2861849711669816
64,0.26115624699327683
65,0.25812504907449085
66,0.22276894999874963
67,0.2801974974738227
68,0.3176612313257323
69,0.38734850774208707
70,0.24279560582505333
71,0.21400606400436825
72,0.20656525250938204
73,0.19203457915120656
74,0.1989975454409917
75,0.19747262742784288
76,0.17662063042322795
77,0.1642292715112368
78,0.18143384906980725
79,0.1696565536989106
80,0.18019144816531074
81,0.23319767716858122
82,0.4413681728972329
83,0.30118714534574087
84,0.1928567882378896
85,0.18749072790145874
86,0.14504947427246306
87,0.13402022120025422
88,0.1212537779741817
89,0.15042415632141962
90,0.14314145021968416
91,0.13556634293662176
92,0.14263195898797776
93,0.6382662514514393
94,0.32842088861597907
95,0.2201122944553693
96,0.16077901204427084
97,0.12249298724863264
98,0.1213290045162042
99,0.11351256988114782
100,0.1070118870668941
101,0.09578516291247474
102,0.09741574141714308
103,0.09592224339644115
104,0.09013505746920904
105,0.09303526884979672
106,0.092020925498671
107,0.09342676538560125
108,0.08848118484020233
109,0.08766440918048223
110,0.09412841065062418
111,0.09274851294027435
112,0.09425258037116792
113,0.09385819426841206
114,0.09345836455623309
115,0.09481075902779897
116,0.09228540995054775
117,0.08999023033512964
118,0.09562312419215838
119,0.08988259010844761
120,0.08732378774219089
121,0.08772576146655613
122,0.08371308349900776
123,0.08478653700815307
124,0.08213567765222655
125,0.08353141824404399
126,0.08848217515481843
127,0.08600864289535416
128,0.08767410900857714
129,0.08659253476394548
130,0.08302290353510115
131,0.08055615719821718
132,0.0873004827896754
133,0.09264911192986701
134,0.07885784778330061
135,0.07134940347737737
136,0.07311677240663104
137,0.0783456346227063
138,0.07743075374099943
139,0.07712694300545586
140,0.07554230820801523
141,0.07359327213631736
142,0.13333024031586116
143,0.1343723730246226
144,0.08116028024090662
145,0.07318389425675074
146,0.06754300518168344
147,0.06464881405234336
148,0.062471457637018626
149,0.06398813188076019
150,0.062106325146224765
151,0.05829541232850816
152,0.05538110262817807
153,0.05570989350477854
154,0.054396083503961565
155,0.05553705892629093
156,0.05546340940727128
157,0.053734779821501835
158,0.05570127530230416
159,0.055092698633670806
160,0.05442284380396207
161,0.05321378090315395
162,0.05192443115843667
163,0.05358773464957873
164,0.05362991834680239
165,0.052844161142905556
166,0.05510898311105039
167,0.05256612016095055
168,0.05234862039486567
169,0.052116739054520925
170,0.0527664561321338
171,0.05141393671433131
172,0.05223060223791334
173,0.05211262179745568
174,0.051864542613426844
175,0.05300550457504061
176,0.053521971843308876
177,0.05058274642460876
178,0.04870281444655524
179,0.05001421690815025
180,0.05122111649976836
181,0.05256333170665635
182,0.0517030662463771
183,0.049825124748879006
184,0.04847045810686217
185,0.048546700204412145
186,0.04681627063287629
187,0.04709790349834495
188,0.04681959146426784
189,0.04669244873027007
190,0.047898639846179224
191,0.05019856347805924
192,0.04759212766256597
193,0.04690828853183322
194,0.04639457846681277
195,0.04558295727603966
196,0.046460076512561906
197,0.049664969543615975
198,0.04731748720010122
199,0.04739951614704397
200,0.04495393205020163
201,0.04358023298283418
202,0.04092355031106207
203,0.04047670940558116
